NAME,SKILL-OR-FOCUS,ATTRIBUTE,-A,T,NUMBER-OF-FOCUSES,SKILL RANKS,FOCUS RANKS,TRAINED?,SPECIALIZED?
Animal Knowledge (Wis),Focus,Wis,FALSE,TRUE,0,,,,
Geography Knowledge,Focus,Int,FALSE,TRUE,0,,,,
Plant Knowledge (Int),Focus,Int,FALSE,TRUE,0,,,,
Plant Knowledge (Wis),Focus,Wis,FALSE,TRUE,0,,,,
Riding,Focus,Dex,FALSE,FALSE,0,,,,
Survival (Int),Focus,Int,FALSE,FALSE,0,,,,
Survival (Wis),Focus,Wis,FALSE,FALSE,0,,,,
Weather Knowledge (Int),Focus,Int,FALSE,TRUE,0,,,,
Weather Knowledge (Wis),Focus,Wis,FALSE,TRUE,0,,,,
Nature Magic,Skill,Mag,TRUE,TRUE,4,,,,
Animal Magic,Focus,Mag,TRUE,TRUE,0,,,,
Plant Magic,Focus,Mag,TRUE,TRUE,0,,,,
Survival Magic,Focus,Mag,TRUE,TRUE,0,,,,
Weather Magic,Focus,Mag,TRUE,TRUE,0,,,,
Perform,Skill,Per,FALSE,FALSE,14,,,,
Act,Focus,Per,FALSE,FALSE,0,,,,
Comedy,Focus,Per,FALSE,FALSE,0,,,,
Dance (Dex),Focus,Dex,TRUE,FALSE,0,,,,
Dance (Per),Focus,Per,TRUE,FALSE,0,,,,
Keyboard Instruments (Dex),Focus,Dex,TRUE,FALSE,0,,,,
Keyboard Instruments (Per),Focus,Per,TRUE,FALSE,0,,,,
Oratory,Focus,Per,FALSE,FALSE,0,,,,
Percussion Instruments (Dex),Focus,Dex,FALSE,FALSE,0,,,,
Percussion Instruments (Per),Focus,Per,FALSE,FALSE,0,,,,
Sing,Focus,Per,FALSE,FALSE,0,,,,
String Instruments (Dex),Focus,Dex,TRUE,FALSE,0,,,,
String Instruments (Per),Focus,Per,TRUE,FALSE,0,,,,
Wind Instruments (Dex),Focus,Dex,TRUE,FALSE,0,,,,
Wind Instruments (Per),Focus,Per,TRUE,FALSE,0,,,,
Persuasion,Skill,Per,FALSE,FALSE,6,,,,
Deception,Focus,Per,FALSE,FALSE,0,,,,
Diplomacy,Focus,Per,FALSE,FALSE,0,,,,
Gather Information,Focus,Per,FALSE,FALSE,0,,,,
Haggling,Focus,Per,FALSE,FALSE,0,,,,
Intimidation (Per),Focus,Per,FALSE,FALSE,0,,,,
Intimidation (Str),Focus,Str,FALSE,FALSE,0,,,,
Planar Lore,Skill,Int,FALSE,TRUE,3,,,,
Elemental Planes Knowledge,Focus,Int,FALSE,TRUE,0,,,,
Energy Planes Knowledge,Focus,Int,FALSE,TRUE,0,,,,
Outer Planes Knowledge,Focus,Int,FALSE,TRUE,0,,,,
Planar Magic,Skill,Mag,TRUE,TRUE,7,,,,
Air Magic,Focus,Mag,TRUE,TRUE,0,,,,
Earth Magic,Focus,Mag,TRUE,TRUE,0,,,,
Nethermancy,Focus,Mag,TRUE,TRUE,0,,,,
Hydromancy,Focus,Mag,TRUE,TRUE,0,,,,
Negative Energy,Focus,Mag,TRUE,TRUE,0,,,,
Positive Energy,Focus,Mag,TRUE,TRUE,0,,,,
Pyromancy,Focus,Mag,TRUE,TRUE,0,,,,
Psionic Magic,Skill,Mag,FALSE,TRUE,3,,,,
Metabiology,Focus,Mag,FALSE,TRUE,0,,,,
Telekinesis,Focus,Mag,FALSE,TRUE,0,,,,
Telepathy,Focus,Mag,FALSE,TRUE,0,,,,
Ranged Weapons,Skill,Dex,FALSE,FALSE,4,,,,
Bows,Focus,Dex,FALSE,FALSE,0,,,,
Crossbows,Focus,Dex,FALSE,FALSE,0,,,,
Slings,Focus,Dex,FALSE,FALSE,0,,,,
Unique Ranged Weapons,Focus,Dex,FALSE,FALSE,0,,,,
Resolve,Skill,Wil,FALSE,FALSE,2,,,,
Concentration,Focus,Wil,FALSE,FALSE,0,,,,
Mettle,Focus,Wil,FALSE,FALSE,0,,,,
Thievery,Skill,Dex,TRUE,FALSE,8,,,,
Forgery,Focus,Int,TRUE,TRUE,0,,,,
Make/Set/Disarm Trap (Dex),Focus,Dex,TRUE,TRUE,0,,,,
Make/Set/Disarm Trap (Int),Focus,Int,TRUE,TRUE,0,,,,
Open Lock,Focus,Dex,TRUE,TRUE,0,,,,
Pick Pocket,Focus,Dex,TRUE,FALSE,0,,,,
Sleight of Hand,Focus,Dex,TRUE,TRUE,0,,,,
Stealth,Focus,Dex,TRUE,FALSE,0,,,,
Use Rope (Dex),Focus,Dex,TRUE,FALSE,0,,,,
Use Rope (Int),Focus,Int,TRUE,FALSE,0,,,,
Treat Injury,Skill,Wis,FALSE,FALSE,5,,,,
First Aid,Focus,Wis,FALSE,FALSE,0,,,,
Surgery (Int),Focus,Int,TRUE,TRUE,0,,,,
Surgery (Wis),Focus,Wis,TRUE,TRUE,0,,,,
Treat Illness (Int),Focus,Int,FALSE,TRUE,0,,,,
Treat Illness (Wis),Focus,Wis,FALSE,TRUE,0,,,,
Underground Lore,Skill,Int,FALSE,TRUE,3,,,,
Underground Survival (Int),Focus,Int,FALSE,FALSE,0,,,,
Underground Survival (Wis),Focus,Wis,FALSE,FALSE,0,,,,
Undersea Knowledge,Focus,Int,FALSE,TRUE,0,,,,
