NAME 0,SKILL-OR-FOCUS 1,ATTRIBUTE 2,-A 3,T 4,S 5,ADDL-TEXT 6,SKILL RANKS 7,FOCUS RANKS 8,TRAINED? 9,SPECIALIZED? 10
Alchemy (Int),Focus,Int,TRUE,TRUE,FALSE,"Use Alchemy for all potions; grenades; consumables; and one shot items (including ammunition but not scrolls) 
_ All alchemical items have a status; the higher the status; the more potent the item.
_ The crafting of alchemical items requires an alchemist's kit and the appropriate reagents for the item being crafted. 
_ The basic alchemical reagents are alchemical air; earth; fire; and water; and all alchemical reagents come in one of three grades: low; medium; or high. Other reagents do exist.
_ Low grade alchemical items are not difficult to find. They can be gathered from dozens of different places on the Material Plane. For instance; low grade alchemical water can come from a specific natural spring at the base of a mountain; while low grade alchemical air may be the air blowing through a specific mountain pass. Medium grade alchemical items are more difficult to find and will typically come from a place that has more significance. For example; medium grade alchemical water may be found in a small pond blessed by a fey creature deep in an ancient forest; while medium grade alchemical earth may be the crushed heart of a dead stone giant. High grade alchemical reagents are very difficult to acquire and will almost always require travel to a different plane. Traveling to the elemental planes is the best way to acquire high grade elemental alchemical reagents.
_ Alchemical formulas must be learned. Each alchemical item can have up to 8 different formulas; one for each status. When you learn the alchemical formula for an alchemical item; you learn all the formulas for the item. Notebooks with alchemical formulas are very valuable. Alchemical formulas contain at least two reagents of a specific grade and quantity.
_ Standard reagent requirements per status
_ Initiate: 2 low
_ Novice: 3 low
_ Apprentice: 1 medium; 2 low
_ Teacher: 2 medium
_ Journeyman: 3 medium
_ Expert: 1 high; 2 medium
_ Master: 2 high
_ Grand Master: 3 high
_ When you declare that you are attempting to craft an alchemical item; you must declare the status you are attempting to craft. When you make your Alchemy check at the end of the process; you will have successfully crafted an item of the status of your roll; meaning that you can create an item of a lower status than you attempted (don't forget auto-success on failed checks; see checks in Chapter 2). You will expend the reagents for the attempted status regardless of the outcome of the check; and you cannot produce an item with a status higher than the attempted status.
_ Some alchemical items may have special; non-standard reagents.
_ All creatures trained in Alchemy know the formulas for the following three items: alchemist's fire grenade; restore stamina potion; and restore health potion.",0,0,FALSE,FALSE
Architecture (Int),Focus,Int,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Armorsmithing (Int),Focus,Int,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Armorsmithing (Str),Focus,Str,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Bowmaking (Dex),Focus,Dex,TRUE,TRUE,FALSE,The fletching of arrows is included,0,0,FALSE,FALSE
Bowmaking (Int),Focus,Int,TRUE,TRUE,FALSE,The fletching of arrows is included,0,0,FALSE,FALSE
Blacksmithing (Int),Focus,Int,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Blacksmithing (Str),Focus,Str,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Carpentry (Int),Focus,Int,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Carpentry (Str),Focus,Str,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Cobbling (Dex),Focus,Dex,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Cobbling (Int),Focus,Int,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Engineering (Int),Focus,Int,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Gemcutting (Dex),Focus,Dex,TRUE,TRUE,FALSE,"_ Gems come in three different qualities: uncut; cut; and polished.
_ An uncut gem is basically a gem just taken out of the ground. It has had no work done on it.
_ A cut gem is a gem that has some work done to it to improve its beauty and sparkle; but hasn't been worked on to its full potential.
_ A polished gem is a gem that has been worked on until it is truly brilliant and sparkles.
_ Gems also come in four different rarities: common; uncommon; rare; and very rare. 
_ A common gem is a gem that can be easily found. They are rarely if ever mined.
_ An uncommon gem is not much less common than a common gem; but they are mined; especially when found in a large concentration. 
_ Rare gems are frequently mined and almost never just found. 
_ Very rare gems are typically only found while mining; it is more likely to find these in mines not on the material plane.
_ The combination of quality and rarity determines how valuable a gem is. The table below shows the typical values of quality/rarity combinations (all values in GP).
_ Gemcutting is used to increase the quality of the gem in question. It takes more skill to work with rarer gems and to polish a stone vs just cutting it. See book for more details.",0,0,FALSE,FALSE
Gemcutting (Int),Focus,Int,TRUE,TRUE,FALSE,"_ Gems come in three different qualities: uncut; cut; and polished.
_ An uncut gem is basically a gem just taken out of the ground. It has had no work done on it.
_ A cut gem is a gem that has some work done to it to improve its beauty and sparkle; but hasn't been worked on to its full potential.
_ A polished gem is a gem that has been worked on until it is truly brilliant and sparkles.
_ Gems also come in four different rarities: common; uncommon; rare; and very rare. 
_ A common gem is a gem that can be easily found. They are rarely if ever mined.
_ An uncommon gem is not much less common than a common gem; but they are mined; especially when found in a large concentration. 
_ Rare gems are frequently mined and almost never just found. 
_ Very rare gems are typically only found while mining; it is more likely to find these in mines not on the material plane.
_ The combination of quality and rarity determines how valuable a gem is. The table below shows the typical values of quality/rarity combinations (all values in GP).
_ Gemcutting is used to increase the quality of the gem in question. It takes more skill to work with rarer gems and to polish a stone vs just cutting it. See book for more details.",0,0,FALSE,FALSE
Leatherworking (Int),Focus,Int,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Leatherworking (Str),Focus,Str,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Locksmithing (Dex),Focus,Dex,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Locksmithing (Int),Focus,Int,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Painting (Dex),Focus,Dex,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Painting (Int),Focus,Int,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Pottery (Dex),Focus,Dex,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Pottery (Int),Focus,Int,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Sculpting (Dex),Focus,Dex,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Sculpting (Int),Focus,Int,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Shipmaking (Int),Focus,Int,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Stonemasonry (Int),Focus,Int,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Stonemasonry (Str),Focus,Str,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Weaponsmithing (Int),Focus,Int,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Weaponsmithing (Str),Focus,Str,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Weaving (Dex),Focus,Dex,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Weaving (Int),Focus,Int,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Cultural Lore (Wis),Skill,Wis,FALSE,TRUE,TRUE,,0,0,TRUE,FALSE
Cultural Knowledge: Avian (Wis),Focus,Wis,FALSE,TRUE,FALSE,Knowledge and understanding of different cultures,0,0,FALSE,FALSE
Cultural Knowledge: Big City (Wis),Focus,Wis,FALSE,TRUE,FALSE,Knowledge and understanding of different cultures,0,0,FALSE,FALSE
Cultural Knowledge: Dwarven (Wis),Focus,Wis,FALSE,TRUE,FALSE,Knowledge and understanding of different cultures,0,0,FALSE,FALSE
Cultural Knowledge: Elven (Dark: Undersea) (Wis),Focus,Wis,FALSE,TRUE,FALSE,Knowledge and understanding of different cultures,0,0,FALSE,FALSE
Cultural Knowledge: Elven (Star) (Wis),Focus,Wis,FALSE,TRUE,FALSE,Knowledge and understanding of different cultures,0,0,FALSE,FALSE
Cultural Knowledge: Elven (Wood) (Wis),Focus,Wis,FALSE,TRUE,FALSE,Knowledge and understanding of different cultures,0,0,FALSE,FALSE
Cultural Knowledge: Farming (Wis),Focus,Wis,FALSE,TRUE,FALSE,Knowledge and understanding of different cultures,0,0,FALSE,FALSE
Cultural Knowledge: Gnome (Hill) (Wis),Focus,Wis,FALSE,TRUE,FALSE,Knowledge and understanding of different cultures,0,0,FALSE,FALSE
Cultural Knowledge: Gnome (Forest) (Wis),Focus,Wis,FALSE,TRUE,FALSE,Knowledge and understanding of different cultures,0,0,FALSE,FALSE
Cultural Knowledge: Halfling (Nomad) (Wis),Focus,Wis,FALSE,TRUE,FALSE,Knowledge and understanding of different cultures,0,0,FALSE,FALSE
Cultural Knowledge: Halfling (Sedentary) (Wis),Focus,Wis,FALSE,TRUE,FALSE,Knowledge and understanding of different cultures,0,0,FALSE,FALSE
Cultural Knowledge: Little Village (Wis),Focus,Wis,FALSE,TRUE,FALSE,Knowledge and understanding of different cultures,0,0,FALSE,FALSE
Cultural Knowledge: Jalai (Wis),Focus,Wis,FALSE,TRUE,FALSE,Knowledge and understanding of different cultures,0,0,FALSE,FALSE
Cultural Knowledge: Member of the Order (Wis),Focus,Wis,FALSE,TRUE,FALSE,Knowledge and understanding of different cultures,0,0,FALSE,FALSE
Cultural Knowledge: Military (Wis),Focus,Wis,FALSE,TRUE,FALSE,Knowledge and understanding of different cultures,0,0,FALSE,FALSE
Cultural Knowledge: Monastic (Wis),Focus,Wis,FALSE,TRUE,FALSE,Knowledge and understanding of different cultures,0,0,FALSE,FALSE
Cultural Knowledge: Noble (Wis),Focus,Wis,FALSE,TRUE,FALSE,Knowledge and understanding of different cultures,0,0,FALSE,FALSE
Cultural Knowledge: Rancher (Wis),Focus,Wis,FALSE,TRUE,FALSE,Knowledge and understanding of different cultures,0,0,FALSE,FALSE
Divine Lore (Int),Skill,Int,FALSE,TRUE,FALSE,,0,0,FALSE,FALSE
Knowledge of the Gods (Int),Focus,Int,FALSE,TRUE,FALSE,,0,0,FALSE,FALSE
Religious Knowledge (Int),Focus,Int,FALSE,TRUE,FALSE,,0,0,FALSE,FALSE
Fortitude (Con),Skill,Con,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
Combat Stamina (Con),Focus,Con,FALSE,FALSE,FALSE,Affects stamina points,0,0,FALSE,FALSE
Endurance (Con),Focus,Con,TRUE,FALSE,FALSE,,0,0,FALSE,FALSE
Hardiness (Con),Focus,Con,FALSE,FALSE,FALSE,The Score Average of this focus is equal to Physical Defense (plus any other modifiers),0,0,FALSE,FALSE
Heavy Weapons (Str),Skill,Str,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
Axes (Str),Focus,Str,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
Flails (Str),Focus,Str,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
Hammers (Str),Focus,Str,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
Heavy Blades (Str),Focus,Str,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
Heavy Thrown Weapons (Str),Focus,Str,FALSE,FALSE,FALSE,Can only be thrown one handed,0,0,FALSE,FALSE
Maces (Str),Focus,Str,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
Picks (Str),Focus,Str,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
Polearms (Str),Focus,Str,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
Shield (Attack) (Str),Focus,Str,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
Spears (Str),Focus,Str,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
Unique Heavy Weapons (Str),Focus,Str,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
History Lore (Int),Skill,Int,FALSE,TRUE,FALSE,,0,0,FALSE,FALSE
Decipher Script (Int),Focus,Int,FALSE,TRUE,FALSE,,0,0,FALSE,FALSE
Era Knowledge: First Wars (Int),Focus,Int,FALSE,TRUE,FALSE,,0,0,FALSE,FALSE
Era Knowledge: Rise of Humanity (Int),Focus,Int,FALSE,TRUE,FALSE,,0,0,FALSE,FALSE
Era Knowledge: Abital Invasion (Int),Focus,Int,FALSE,TRUE,FALSE,,0,0,FALSE,FALSE
Era Knowledge: Old Empires Era (Int),Focus,Int,FALSE,TRUE,FALSE,,0,0,FALSE,FALSE
Era Knowledge: Great Catastrophe (Int),Focus,Int,FALSE,TRUE,FALSE,,0,0,FALSE,FALSE
Era Knowledge: Dark Millenium (Int),Focus,Int,FALSE,TRUE,FALSE,,0,0,FALSE,FALSE
Era Knowledge: New Empires Era (Int),Focus,Int,FALSE,TRUE,FALSE,,0,0,FALSE,FALSE
Era Knowledge: Dragon Wars (Int),Focus,Int,FALSE,TRUE,FALSE,,0,0,FALSE,FALSE
Era Knowledge: Modern Era (Int),Focus,Int,FALSE,TRUE,FALSE,,0,0,FALSE,FALSE
Regional Knowledge: Argyliap (Int),Focus,Int,FALSE,TRUE,FALSE,Knowledge of the nobility; governments; etc.; of a region,0,0,FALSE,FALSE
Regional Knowledge: Burning Isle (Int),Focus,Int,FALSE,TRUE,FALSE,Knowledge of the nobility; governments; etc.; of a region,0,0,FALSE,FALSE
Regional Knowledge: Delaton (Int),Focus,Int,FALSE,TRUE,FALSE,Knowledge of the nobility; governments; etc.; of a region,0,0,FALSE,FALSE
Regional Knowledge: Dertropal (Int),Focus,Int,FALSE,TRUE,FALSE,Knowledge of the nobility; governments; etc.; of a region,0,0,FALSE,FALSE
Regional Knowledge: Drakdar (Int),Focus,Int,FALSE,TRUE,FALSE,Knowledge of the nobility; governments; etc.; of a region,0,0,FALSE,FALSE
Regional Knowledge: Dusktrie (Int),Focus,Int,FALSE,TRUE,FALSE,Knowledge of the nobility; governments; etc.; of a region,0,0,FALSE,FALSE
Regional Knowledge: Grapia (Int),Focus,Int,FALSE,TRUE,FALSE,Knowledge of the nobility; governments; etc.; of a region,0,0,FALSE,FALSE
Regional Knowledge: Grucor (Int),Focus,Int,FALSE,TRUE,FALSE,Knowledge of the nobility; governments; etc.; of a region,0,0,FALSE,FALSE
Regional Knowledge: Lerrizon (Int),Focus,Int,FALSE,TRUE,FALSE,Knowledge of the nobility; governments; etc.; of a region,0,0,FALSE,FALSE
Regional Knowledge: Misshapen Isle (Int),Focus,Int,FALSE,TRUE,FALSE,Knowledge of the nobility; governments; etc.; of a region,0,0,FALSE,FALSE
Regional Knowledge: Montailar (Int),Focus,Int,FALSE,TRUE,FALSE,Knowledge of the nobility; governments; etc.; of a region,0,0,FALSE,FALSE
Regional Knowledge: Nerillian (Int),Focus,Int,FALSE,TRUE,FALSE,Knowledge of the nobility; governments; etc.; of a region,0,0,FALSE,FALSE
Regional Knowledge: Pycdal (Int),Focus,Int,FALSE,TRUE,FALSE,Knowledge of the nobility; governments; etc.; of a region,0,0,FALSE,FALSE
Regional Knowledge: Spires of Screams (Int),Focus,Int,FALSE,TRUE,FALSE,Knowledge of the nobility; governments; etc.; of a region,0,0,FALSE,FALSE
Regional Knowledge: Tethric (Int),Focus,Int,FALSE,TRUE,FALSE,Knowledge of the nobility; governments; etc.; of a region,0,0,FALSE,FALSE
Regional Knowledge: Terrizon (Int),Focus,Int,FALSE,TRUE,FALSE,Knowledge of the nobility; governments; etc.; of a region,0,0,FALSE,FALSE
Regional Knowledge: Torrappamon (Int),Focus,Int,FALSE,TRUE,FALSE,Knowledge of the nobility; governments; etc.; of a region,0,0,FALSE,FALSE
Regional Knowledge: Vaffirna (Int),Focus,Int,FALSE,TRUE,FALSE,Knowledge of the nobility; governments; etc.; of a region,0,0,FALSE,FALSE
Regional Knowledge: Wocklor (Int),Focus,Int,FALSE,TRUE,FALSE,Knowledge of the nobility; governments; etc.; of a region,0,0,FALSE,FALSE
Regional Knowledge: Wystral (Int),Focus,Int,FALSE,TRUE,FALSE,Knowledge of the nobility; governments; etc.; of a region,0,0,FALSE,FALSE
Military Knowledge (Int),Focus,Int,FALSE,TRUE,FALSE,"Masters of combat tactics should take ranks in this focus
_ increases in status allow one to learn more martial feats (+1 per status up to their level plus 8)
",0,0,FALSE,FALSE
Leadership (Per),Skill,Per,FALSE,TRUE,FALSE,,0,0,FALSE,FALSE
Cohort (Per),Focus,Per,FALSE,TRUE,FALSE,Cohorts are close friends; NPCs who will follow the player on adventures; though they aren't always going to be combatants,0,0,FALSE,FALSE
Followers (Per),Focus,Per,FALSE,TRUE,FALSE,Followers include a wide range of people who will work for the character; typically with a greater degree of loyalty than normal hired help; they will not follow the character on adventures under normal circumstances,0,0,FALSE,FALSE
Light Weapons (Dex),Skill,Dex,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
Light Blades (Dex),Focus,Dex,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
Light Thrown Weapons (Dex),Focus,Dex,FALSE,FALSE,FALSE,Grenade weapons; like flasks of acid or alchemist's fire use this for their attack rolls; grenade weapons do not get Dex modifier in bonus damage,0,0,FALSE,FALSE
Unique Light Weapons (Dex),Focus,Dex,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
Magic Lore (Int),Skill,Int,FALSE,TRUE,FALSE,,0,0,FALSE,FALSE
Detect Magic (Int),Focus,Int,FALSE,TRUE,FALSE,Use this skill to detect magic; T# is the status of the magical effect,0,0,FALSE,FALSE
Magic Knowledge (Int),Focus,Int,FALSE,TRUE,FALSE,,0,0,FALSE,FALSE
Spell Identification (Int),Focus,Int,FALSE,TRUE,FALSE,Use this skill to identify spells as they are being cast (0 AP reaction; know spell before effect goes off); identify ongoing spell effects; T# is status of the spell or spell effect,0,0,FALSE,FALSE
Martial Skill (Dex),Skill,Dex,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
Evasion (Dex),Focus,Dex,TRUE,FALSE,FALSE,The Score Average of this focus is equal to Combat Defense (plus any other modifiers),0,0,FALSE,FALSE
Improvised Weapons (Str),Focus,Str,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
Escaping (Dex),Focus,Dex,TRUE,FALSE,FALSE,,0,0,FALSE,FALSE
Escaping (Str),Focus,Str,TRUE,FALSE,FALSE,,0,0,FALSE,FALSE
Unarmed Combat (Dex),Focus,Dex,FALSE,FALSE,FALSE,Unarmed attacks deal 1d3 plus Strength or Dexterity modifier damage; they deal normal damage; but cannot drop an enemy to below 0 Health Points (but see the Lethal Unarmed Strike talent); wrestling/grappling falls under this focus; natural weapons will use this focus,0,0,FALSE,FALSE
Unarmed Combat (Str),Focus,Str,FALSE,FALSE,FALSE,Unarmed attacks deal 1d3 plus Strength or Dexterity modifier damage; they deal normal damage; but cannot drop an enemy to below 0 Health Points (but see the Lethal Unarmed Strike talent); wrestling/grappling falls under this focus; natural weapons will use this focus,0,0,FALSE,FALSE
Martial Skill (Str),Skill,Str,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
Evasion (Dex),Focus,Dex,TRUE,FALSE,FALSE,The Score Average of this focus is equal to Combat Defense (plus any other modifiers),0,0,FALSE,FALSE
Improvised Weapons (Str),Focus,Str,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
Escaping (Dex),Focus,Dex,TRUE,FALSE,FALSE,,0,0,FALSE,FALSE
Escaping (Str),Focus,Str,TRUE,FALSE,FALSE,,0,0,FALSE,FALSE
Unarmed Combat (Dex),Focus,Dex,FALSE,FALSE,FALSE,Unarmed attacks deal 1d3 plus Strength or Dexterity modifier damage; they deal normal damage; but cannot drop an enemy to below 0 Health Points (but see the Lethal Unarmed Strike talent); wrestling/grappling falls under this focus; natural weapons will use this focus,0,0,FALSE,FALSE
Unarmed Combat (Str),Focus,Str,FALSE,FALSE,FALSE,Unarmed attacks deal 1d3 plus Strength or Dexterity modifier damage; they deal normal damage; but cannot drop an enemy to below 0 Health Points (but see the Lethal Unarmed Strike talent); wrestling/grappling falls under this focus; natural weapons will use this focus,0,0,FALSE,FALSE
Nature Lore (Int),Skill,Int,FALSE,TRUE,FALSE,,0,0,FALSE,FALSE
Animal Knowledge (Int),Focus,Int,FALSE,TRUE,FALSE,Handling trained or wild beasts falls here,0,0,FALSE,FALSE
Animal Knowledge (Wis),Focus,Wis,FALSE,TRUE,FALSE,Handling trained or wild beasts falls here,0,0,FALSE,FALSE
Geography Knowledge (Int),Focus,Int,FALSE,TRUE,FALSE,,0,0,FALSE,FALSE
Plant Knowledge (Int),Focus,Int,FALSE,TRUE,FALSE,,0,0,FALSE,FALSE
Plant Knowledge (Wis),Focus,Wis,FALSE,TRUE,FALSE,,0,0,FALSE,FALSE
Riding (Dex),Focus,Dex,FALSE,FALSE,FALSE," A creature riding a mount without training in the Riding focus can only travel overland on a mount and must have a saddle. Also; a creature without training in Riding cannot fight while mounted or do anything beyond basic riding; all of a creature's attention is focused on riding.
_ Successful Teacher check to get on or off a mount for 1AP; or Master check for 0AP. Success also means that you do not provide an attack of opening.",0,0,FALSE,FALSE
Survival (Int),Focus,Int,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
Survival (Wis),Focus,Wis,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
Weather Knowledge (Int),Focus,Int,FALSE,TRUE,FALSE,,0,0,FALSE,FALSE
Weather Knowledge (Wis),Focus,Wis,FALSE,TRUE,FALSE,,0,0,FALSE,FALSE
Nature Magic (Mag),Skill,Mag,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Animal Magic (Mag),Focus,Mag,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Plant Magic (Mag),Focus,Mag,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Survival Magic (Mag),Focus,Mag,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Weather Magic (Mag),Focus,Mag,TRUE,TRUE,FALSE,Lighting/electricity based magic attacks will usually fall here,0,0,FALSE,FALSE
Perform (Per),Skill,Per,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
Act (Per),Focus,Per,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
Comedy (Per),Focus,Per,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
Dance (Dex),Focus,Dex,TRUE,FALSE,FALSE,,0,0,FALSE,FALSE
Dance (Per),Focus,Per,TRUE,FALSE,FALSE,,0,0,FALSE,FALSE
Keyboard Instruments (Dex),Focus,Dex,TRUE,FALSE,FALSE,,0,0,FALSE,FALSE
Keyboard Instruments (Per),Focus,Per,TRUE,FALSE,FALSE,,0,0,FALSE,FALSE
Oratory (Per),Focus,Per,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
Percussion Instruments (Dex),Focus,Dex,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
Percussion Instruments (Per),Focus,Per,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
Sing (Per),Focus,Per,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
String Instruments (Dex),Focus,Dex,TRUE,FALSE,FALSE,,0,0,FALSE,FALSE
String Instruments (Per),Focus,Per,TRUE,FALSE,FALSE,,0,0,FALSE,FALSE
Wind Instruments (Dex),Focus,Dex,TRUE,FALSE,FALSE,,0,0,FALSE,FALSE
Wind Instruments (Per),Focus,Per,TRUE,FALSE,FALSE,,0,0,FALSE,FALSE
Persuasion (Per),Skill,Per,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
Deception (Per),Focus,Per,FALSE,FALSE,FALSE,Creating/using a disguise falls here,0,0,FALSE,FALSE
Diplomacy (Per),Focus,Per,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
Gather Information (Per),Focus,Per,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
Haggling (Per),Focus,Per,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
Intimidation (Per),Focus,Per,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
