Weapon 0,Focus 1,Size 2,Damage 3,Range 4,Cost (sp) 5,Weight (lbs) 6,Code 7,Description 8,Material 9,10,11,12,Skill 13
Heavy Battle Pick,Picks,L,2d4,Melee,120,6,P,,Metal,x,x,x,Heavy Weapons
Light Battle Pick,Picks,M,1d6,Melee,70,4,P,,Metal,x,x,x,Heavy Weapons
Glaive,Polearms,L,1d10,Melee,160,10,H R,,Metal,x,x,x,Heavy Weapons
Halbard,Polearms,L,1d10,Melee,175,12,R T,,Metal,x,x,x,Heavy Weapons
Quarterstaff,Polearms,L,1d6,Melee,10,4,D BB,,Metal,x,x,x,Heavy Weapons
Bola,Slings,S,1d3,30,40,2,,A creature hit by a bola is knocked prone in its space.,x,x,x,x,Ranged Weapons
Sling,Slings,S,1d6,40,5,0.1,L2,,x,x,x,x,Ranged Weapons
Greatspear,Spears,L,2d6,Melee,200,10,R,A greatspear cannot be used to attack adjacent creatures.,Metal,x,x,x,Heavy Weapons
Javalin,Spears,M,1d6,Melee,25,2,,,Metal,x,x,x,Heavy Weapons
Longspear,Spears,L,1d10,Melee,75,7,R,,Metal,x,x,x,Heavy Weapons
Spear,Spears,M,1d8,Melee,35,4,,,Metal,x,x,x,Heavy Weapons
Trident,Spears,M,2d4,Melee,120,4,,,Metal,x,x,x,Heavy Weapons
Spiked Gauntlet,Unarmed Combat,S,1d4,Melee,50,1,P,,Metal,x,x,x,Martial Skill
Spiked Chain,Unique Heavy Weapons,L,2d4,Melee,300,10,BB R T,,Metal,x,x,x,Heavy Weapons
Garrote,Unique Light Weapons,S,2d4,Melee,20,1,H,A garrote always requires 2 hands to use. You cannot attack creatures more than one size larger or smaller than you with a garrote. With a successful attack you have the attacked creature grabbed. The escape target# is the status target# of your status with Unique Light Weapons.,x,x,x,x,Light Weapons
Lashknife,Unique Light Weapons,M,1d4,Melee,150,2,R T,A lashknife is length of chain with a small blade on one end and a handle on the other. A lashknife can be rolled up and effectively sheathed.,Metal,x,x,x,Light Weapons
Whip,Unique Light Weapons,M,1d4,Melee,75,2,R T,A whip can be rolled up and effectively sheathed.,x,x,x,x,Light Weapons
Blowgun,Unique Ranged Weapons,L,1d6,40,20,2,L2,,Wood,x,x,x,Ranged Weapons
Net,Unique Ranged Weapons,L,1d2,15,100,10,T,A successful attack with a net ensnares an opponent. The ensnared creature can cut themselves free with any weapon with a blade for 10 AP or a successful Escaping check (10 AP target# determined by the status of the attacking creature's status in Unique Ranged Weapons).,x,x,x,x,Ranged Weapons
